# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1             	(1.446357e+01 -6.188679e+01 0.000000e+00)	(0.000000e+00 -6.188699e+01 0.000000e+00)	(1.446357e+01 1.951380e-04 0.000000e+00)
2             	(1.457904e+01 -6.234863e+01 0.000000e+00)	(0.000000e+00 -6.234923e+01 0.000000e+00)	(1.457904e+01 6.013100e-04 0.000000e+00)
3             	(1.469336e+01 -6.281206e+01 0.000000e+00)	(0.000000e+00 -6.281328e+01 0.000000e+00)	(1.469336e+01 1.219573e-03 0.000000e+00)
4             	(1.480775e+01 -6.327902e+01 0.000000e+00)	(0.000000e+00 -6.328108e+01 0.000000e+00)	(1.480775e+01 2.059140e-03 0.000000e+00)
5             	(1.492078e+01 -6.383847e+01 0.000000e+00)	(0.000000e+00 -6.384185e+01 0.000000e+00)	(1.492078e+01 3.375886e-03 0.000000e+00)
6             	(1.505574e+01 -6.450699e+01 0.000000e+00)	(0.000000e+00 -6.451240e+01 0.000000e+00)	(1.505574e+01 5.406655e-03 0.000000e+00)
7             	(1.521833e+01 -6.521979e+01 0.000000e+00)	(0.000000e+00 -6.522790e+01 0.000000e+00)	(1.521833e+01 8.110153e-03 0.000000e+00)
8             	(1.539006e+01 -6.602410e+01 0.000000e+00)	(0.000000e+00 -6.603595e+01 0.000000e+00)	(1.539006e+01 1.184543e-02 0.000000e+00)
9             	(1.558441e+01 -6.687522e+01 0.000000e+00)	(0.000000e+00 -6.689182e+01 0.000000e+00)	(1.558441e+01 1.660180e-02 0.000000e+00)
10            	(1.578861e+01 -6.780676e+01 0.000000e+00)	(0.000000e+00 -6.782953e+01 0.000000e+00)	(1.578861e+01 2.277515e-02 0.000000e+00)
11            	(1.601235e+01 -6.878447e+01 0.000000e+00)	(0.000000e+00 -6.881484e+01 0.000000e+00)	(1.601235e+01 3.037680e-02 0.000000e+00)
12            	(1.624590e+01 -6.983337e+01 0.000000e+00)	(0.000000e+00 -6.987321e+01 0.000000e+00)	(1.624590e+01 3.983760e-02 0.000000e+00)
13            	(1.649666e+01 -7.092568e+01 0.000000e+00)	(0.000000e+00 -7.097687e+01 0.000000e+00)	(1.649666e+01 5.118921e-02 0.000000e+00)
14            	(1.675680e+01 -7.208047e+01 0.000000e+00)	(0.000000e+00 -7.214537e+01 0.000000e+00)	(1.675680e+01 6.489504e-02 0.000000e+00)
15            	(1.703222e+01 -7.327418e+01 0.000000e+00)	(0.000000e+00 -7.335518e+01 0.000000e+00)	(1.703222e+01 8.100502e-02 0.000000e+00)
