# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1             	(3.094340e+00 7.231787e-01 -2.829464e+01)	(3.094349e+00 0.000000e+00 -2.829473e+01)	(-9.756899e-06 7.231787e-01 8.913087e-05)
2             	(3.117432e+00 7.289519e-01 -2.850580e+01)	(3.117462e+00 0.000000e+00 -2.850607e+01)	(-3.006550e-05 7.289519e-01 2.747444e-04)
3             	(3.140603e+00 7.346682e-01 -2.871768e+01)	(3.140664e+00 0.000000e+00 -2.871823e+01)	(-6.097866e-05 7.346682e-01 5.573251e-04)
4             	(3.163951e+00 7.403875e-01 -2.893117e+01)	(3.164054e+00 0.000000e+00 -2.893212e+01)	(-1.029570e-04 7.403875e-01 9.410852e-04)
5             	(3.191924e+00 7.460388e-01 -2.918696e+01)	(3.192092e+00 0.000000e+00 -2.918850e+01)	(-1.687943e-04 7.460388e-01 1.542996e-03)
6             	(3.225350e+00 7.527872e-01 -2.949261e+01)	(3.225620e+00 0.000000e+00 -2.949508e+01)	(-2.703328e-04 7.527872e-01 2.471341e-03)
7             	(3.260990e+00 7.609167e-01 -2.981851e+01)	(3.261395e+00 0.000000e+00 -2.982222e+01)	(-4.055077e-04 7.609167e-01 3.707254e-03)
8             	(3.301205e+00 7.695030e-01 -3.018625e+01)	(3.301797e+00 0.000000e+00 -3.019166e+01)	(-5.922713e-04 7.695030e-01 5.414891e-03)
9             	(3.343761e+00 7.792204e-01 -3.057539e+01)	(3.344591e+00 0.000000e+00 -3.058298e+01)	(-8.300898e-04 7.792204e-01 7.589382e-03)
10            	(3.390338e+00 7.894303e-01 -3.100131e+01)	(3.391477e+00 0.000000e+00 -3.101172e+01)	(-1.138757e-03 7.894303e-01 1.041173e-02)
11            	(3.439223e+00 8.006175e-01 -3.144833e+01)	(3.440742e+00 0.000000e+00 -3.146222e+01)	(-1.518840e-03 8.006175e-01 1.388713e-02)
12            	(3.491669e+00 8.122952e-01 -3.192792e+01)	(3.493660e+00 0.000000e+00 -3.194613e+01)	(-1.991880e-03 8.122952e-01 1.821258e-02)
13            	(3.546284e+00 8.248328e-01 -3.242735e+01)	(3.548844e+00 0.000000e+00 -3.245075e+01)	(-2.559460e-03 8.248328e-01 2.340256e-02)
14            	(3.604024e+00 8.378400e-01 -3.295535e+01)	(3.607268e+00 0.000000e+00 -3.298502e+01)	(-3.244752e-03 8.378400e-01 2.966899e-02)
15            	(3.663709e+00 8.516108e-01 -3.350114e+01)	(3.667759e+00 0.000000e+00 -3.353818e+01)	(-4.050251e-03 8.516108e-01 3.703471e-02)
16            	(3.726066e+00 8.658211e-01 -3.407137e+01)	(3.731066e+00 0.000000e+00 -3.411710e+01)	(-5.000543e-03 8.658211e-01 4.572456e-02)
17            	(3.790056e+00 8.807125e-01 -3.465655e+01)	(3.796155e+00 0.000000e+00 -3.471232e+01)	(-6.098841e-03 8.807125e-01 5.576796e-02)
18            	(3.856218e+00 8.960086e-01 -3.526158e+01)	(3.863589e+00 0.000000e+00 -3.532898e+01)	(-7.370788e-03 8.960086e-01 6.739944e-02)
19            	(3.923615e+00 9.119119e-01 -3.587791e+01)	(3.932435e+00 0.000000e+00 -3.595856e+01)	(-8.820188e-03 9.119119e-01 8.065382e-02)
20            	(3.992619e+00 9.281840e-01 -3.650894e+01)	(4.003092e+00 0.000000e+00 -3.660471e+01)	(-1.047336e-02 9.281840e-01 9.577184e-02)
21            	(4.062369e+00 9.449982e-01 -3.714680e+01)	(4.074703e+00 0.000000e+00 -3.725959e+01)	(-1.233458e-02 9.449982e-01 1.127926e-01)
22            	(4.133088e+00 9.621472e-01 -3.779352e+01)	(4.147518e+00 0.000000e+00 -3.792548e+01)	(-1.443038e-02 9.621472e-01 1.319589e-01)
23            	(4.203970e+00 9.797813e-01 -3.844175e+01)	(4.220736e+00 0.000000e+00 -3.859506e+01)	(-1.676543e-02 9.797813e-01 1.533134e-01)
24            	(4.275104e+00 9.977202e-01 -3.909226e+01)	(4.294470e+00 0.000000e+00 -3.926936e+01)	(-1.936612e-02 9.977202e-01 1.770975e-01)
25            	(4.345726e+00 1.016096e+00 -3.973811e+01)	(4.367964e+00 0.000000e+00 -3.994147e+01)	(-2.223760e-02 1.016096e+00 2.033584e-01)
26            	(4.415801e+00 1.034751e+00 -4.037896e+01)	(4.441207e+00 0.000000e+00 -4.061129e+01)	(-2.540590e-02 1.034751e+00 2.323344e-01)
27            	(4.484604e+00 1.053804e+00 -4.100817e+01)	(4.513481e+00 0.000000e+00 -4.127225e+01)	(-2.887694e-02 1.053804e+00 2.640794e-01)
28            	(4.551988e+00 1.073116e+00 -4.162441e+01)	(4.584665e+00 0.000000e+00 -4.192324e+01)	(-3.267654e-02 1.073116e+00 2.988298e-01)
29            	(4.617260e+00 1.092793e+00 -4.222132e+01)	(4.654072e+00 0.000000e+00 -4.255798e+01)	(-3.681207e-02 1.092793e+00 3.366531e-01)
30            	(4.680172e+00 1.112711e+00 -4.279666e+01)	(4.721482e+00 0.000000e+00 -4.317445e+01)	(-4.130961e-02 1.112711e+00 3.777879e-01)
31            	(4.740036e+00 1.132961e+00 -4.334411e+01)	(4.786215e+00 0.000000e+00 -4.376644e+01)	(-4.617893e-02 1.132961e+00 4.223237e-01)
